  Layer  Stave Chip     X         Y           Z        r         phi
    02    12    02   -2.3139   -2.9493     -6.6526   3.7487   -2.2361
    02    12    03   -2.3093   -2.9475     -3.6373   3.7444   -2.2354
    02    12    04   -2.3060   -2.9486     -0.6203   3.7433   -2.2345
    02    12    05   -2.3038   -2.9512      2.3955   3.7439   -2.2336
    02    12    06   -2.3022   -2.9544      5.4106   3.7455   -2.2327
    02    12    07   -2.3021   -2.9575      8.4249   3.7479   -2.2322
    02    12    08   -2.3009   -2.9598     11.4399   3.7489   -2.2316
    02    13    00   -1.2762   -3.6712    -12.6819   3.8867   -1.9054
    02    13    01   -1.2714   -3.6660     -9.6624   3.8802   -1.9046
    02    13    02   -1.2679   -3.6651     -6.6455   3.8782   -1.9038
    02    13    03   -1.2637   -3.6671     -3.6295   3.8788   -1.9026
    02    13    04   -1.2607   -3.6700     -0.6114   3.8805   -1.9017
    02    13    05   -1.2575   -3.6742      2.4039   3.8834   -1.9005
    02    13    06   -1.2552   -3.6804      5.4195   3.8886   -1.8995
    02    13    07   -1.2542   -3.6864      8.4331   3.8939   -1.8987
    02    13    08   -1.2523   -3.6909     11.4483   3.8975   -1.8979
    02    14    00   -0.0772   -4.1219    -12.6249   4.1227   -1.5895
    02    14    01   -0.0708   -4.1430     -9.6950   4.1437   -1.5879
    02    14    02   -0.0686   -4.1415     -6.6789   4.1420   -1.5874
    02    14    03   -0.0649   -4.1426     -3.6628   4.1431   -1.5865
    02    14    04   -0.0610   -4.1457     -0.6474   4.1462   -1.5855
    02    14    05   -0.0564   -4.1507      2.3703   4.1510   -1.5844
    02    14    06   -0.0524   -4.1546      5.3874   4.1549   -1.5834
    02    14    07   -0.0490   -4.1586      8.4036   4.1588   -1.5826
    02    14    08   -0.0466   -4.1630     11.4184   4.1633   -1.5820
    02    15    00    1.2466   -4.1600    -12.7498   4.3428   -1.2796
    02    15    01    1.2502   -4.1573     -9.7358   4.3412   -1.2787
    02    15    02    1.2548   -4.1551     -6.7209   4.3404   -1.2775
    02    15    03    1.2597   -4.1516     -3.7051   4.3385   -1.2762
    02    15    04    1.2644   -4.1510     -0.6899   4.3394   -1.2751
    02    15    05    1.2693   -4.1488      2.3270   4.3386   -1.2739
    02    15    06    1.2743   -4.1512      5.3406   4.3424   -1.2730
    02    15    07    1.2781   -4.1520      8.3546   4.3442   -1.2722
    02    15    08    1.2821   -4.1556     11.3705   4.3489   -1.2715
    02    16    00    2.4683   -3.7604    -12.7668   4.4981   -0.9899
    02    16    01    2.4727   -3.7597     -9.7536   4.5000   -0.9890
    02    16    02    2.4779   -3.7591     -6.7379   4.5023   -0.9880
    02    16    03    2.4825   -3.7574     -3.7222   4.5034   -0.9869
    02    16    04    2.4871   -3.7569     -0.7062   4.5055   -0.9860
    02    16    05    2.4927   -3.7570      2.3096   4.5088   -0.9850
    02    16    06    2.4966   -3.7557      5.3247   4.5098   -0.9841
    02    16    07    2.5025   -3.7556      8.3411   4.5129   -0.9830
    02    16    08    2.5074   -3.7552     11.3571   4.5154   -0.9821
    02    17    00    3.5086   -2.9983    -12.7721   4.6151   -0.7071
